id	POI	rating	recensione	negative	neutral	positive	sentiment_pred
66374440e18e1c186ce07e35	Palazzo Cesi	5	Un palazzo appena restaurato, una ricca documentazione in ogni stanza e un'app per aiutare ancora di più. Non mancano gli affreschi, le documentazioni scientifiche ... insomma è da non perdere	0.001214894349686801	0.01089215371757746	0.9878929257392883	positive
66374440e18e1c186ce07e35	Palazzo Cesi	5	Cinquecentesca dimora di una tra le famiglie illustri umbro - romane . Molto ben organizzati con ologrammi e proiezioni che guidano  all'interno e in più noi abbiamo avuto l'occasione di avere un'oretta come  guida il giovane Simone  . Visita interessante e consigliata .	0.0001898571499623358	0.004603196866810322	0.9952070116996765	positive
66374440e18e1c186ce07e35	Palazzo Cesi	4	L'imponente palazzo in stile rinascimentale è di per sé molto bello sia dal punto di vista architettonico che da quello decorativo ed anche la sua storia è di particolare interesse. Per questi motivi ho preferito chiedere una visita guidata che a questo punto non mi sento di consigliare  almeno secondo le modalità con cui è stata effettuata. Nelle varie sale del pianterreno ed in una sala del piano superiore sono stati installati degli ologrammi dei vari personaggi importanti della famiglia Cesi che narrano le loro vicende storiche. Fin qui ben fatto. La guida incentra invece le sue spiegazioni soprattutto sulle vicende artistiche e sulle decorazioni pittoriche. Ben fatto anche questo e la guida è stata brava e gentile. Peccato però che le due cose si vengono a sovrapporre e mentre parla la guida parla anche il personaggio, vi lascio immaginare con quale confusione. Ho detto alla guida che sarebbe auspicabile un'integrazione tra le due cose e finché questa non avviene credo che sia meglio lasciare da parte la visita guidata. Il palazzo merita decisamente di essere conosciuto.	0.0004285897011868656	0.001523979124613106	0.9980474710464478	positive
66374440e18e1c186ce07e35	Palazzo Cesi	4	"Particolari elogi vanno per il recupero e consolidamento di questa significativa, importante dimora. Non ultimo, per averla resa fruibile ad un vasto pubblico, cosa non comune, mediante un'ampia sezione museale che ti porta a visitare anche i loggiati, lo scalone, il cortile d'onore e il giardino superiore... È tutto molto interessante, ma su cui bisogna lavorare di più, per renderlo più appetibile, bello e curato.
Un suggerimento, che mi preme indirizzare all'università di Perugia e a chi coordina il tutto:
1- I pannelli che introducono i vari argomenti sono davvero ben fatti, curati, ricchi di particolari. Personalmente, però, avrei posto un distinguo tra gli ""argomenti trattati"" e la ""descrizione della stanza"" in cui uno si trova; soprattutto, essendo quest'ultima relegata in basso, da ultimo, nel pannello e quindi di non facile lettura. Normalmente questa la si incontra appena ci si introduce in una stanza: poi c'è chi vuol leggerla e chi no;
2- I pannelli per una loro attenta lettura hanno bisogno di tranquillità, di silenzio... E non di una proiezione (seppur accattivante), in continuo divenire (essendo ciclica), con personaggi dell'epoca, in costume, che ti parlano addosso e ti disturbano nella lettura;
3- Al piano terra, appena si entra, il visitatore viene letteralmente 'bombardato' da tante, troppe informazioni. Si ha davvero difficoltà a seguire gli audio, di ogni singola proiezione, poiché quelli (a tamburo) provenienti dalle stanze limitrofi, si accavallano e sovrammettono a quello della stanza in cui uno si trovava;
4- Poiché il palazzo è molto vasto e, talvolta, si passa anche in ambienti e stanze spesso vuote, o di scarso interesse (ciò, in particolare, al piano superiore) - non essendovi qui affreschi o soffitti lignei, a cassettoni, da dover descrivere -, ebbene, proprio in queste stanze, opportunamente offuscate e ovattate, andrei a collocarvi delle comode sedie, potendosi così godere, comodamente, la proiezione di ogni singolo video, facendo però sempre attenzione di non arrecare danno alle stanze adiacenti;
4- Insomma, avendo tanto spazio, dilaterei il tutto, in modo da rendere ancora più accattivante e di maggior interesse questo bel percorso culturale: alla scoperta di importanti figure poliedriche, incentrate in particolar modo su Federico Cesi e la sua Accademia dei Lincei..."	0.001172363292425871	0.004624470602720976	0.9942031502723694	positive
66374440e18e1c186ce07e35	Palazzo Cesi	4	"Palazzo Cesi di Acquasparta é il principale monumento del borgo.
Visitabile con un esiguo biglietto di 6 euro, venne fondato dal Duca Federico Cesi nel Seicento, e nelle sue sale venne ospitato Galileo Galilei.
Il prospetto esterno, che dà sulla piazza principale, si presenta, nell’ordine inferiore, con uno splendido portale rinascimentale a tutto sesto, ornato da una cornice in conci bugnati.
L’interno é impreziosito da un susseguirsi di sale che presentano splendide volte affrescate, in eccellente stato di conservazione, mentre altre sono ornate da elaborati soffitti lignei. Gli affreschi presenti, narrano vicende legate alla mitologia.
La struttura del palazzo é edificata su due piani, piano terra e primo piano, entrambi visitabili. Splendido é anche il loggiato del primo piano, ove si affacciano le stanze. Le varie sale che si susseguono nel percorso di visita sono  consequenziali tra loro, sia al piano terra che al primo, pertanto non c’é alcun rischio di perdersi nel palazzo o di saltare qualche ambiente.
Visita obbligatoria nel borgo di Acquasparta."	0.0005775829195044935	0.05122018232941628	0.9482021927833557	positive
66374441e18e1c186ce07e36	Chiesa di Santa Cecilia	3	Frequento Acquasparta  da piccolo,  mia madre ne era  nativa,  LA chiesa e'dedicata Alla Santa protrettrice Del borgo , chiesa Del 200, con architettura propria Del tempo 	0.0004616871592588723	0.9811128377914429	0.01842541806399822	neutral
66374441e18e1c186ce07e36	Chiesa di Santa Cecilia	5	Risale al XII secolo  , di notevole interesse la cappella Cesia  , la chiesa conserva diverse tele del XVI - XVIII secolo e la tomba di Federico Cesi fondatore dell'accademia di Lincei  .	0.002698477124795318	0.9433038830757141	0.05399767681956291	neutral
66374441e18e1c186ce07e36	Chiesa di Santa Cecilia	3	La chiesa ha subito molti rimaneggiamenti e restauri. Le primitive origini romaniche restano visibili nella parte absidale esterna, mentre l'interno ha eleganti forme rinascimentali. Diverse cappelle laterali appartengono a famiglie di cui sono raffigurati gli stemmi gentilizi e tra queste c'è la famiglia Cesi. E' un edificio ben tenuto ma di limitato interesse artistico.	0.03105240315198898	0.3384723961353302	0.6304752230644226	positive
66374441e18e1c186ce07e37	Lago Di Arezzo	4	Lago di medie dimensioni,conosciuto soprattutto dai pescatori.Formalmente non balneabile come quasi tutti gli invasi artificiali ma non ci sono pericoli se si fa il bagno lontano dalla diga.C'è un percorso da trekking che gira attorno a quasi tutto il lago ma al momento non so se è percorribile per la vegetazione presente.In auto è facilmente raggiungibile,lasciando l'auto fino al borgo di Firenzuola e da lì scendendo a piedi.Altro punto di accesso da Messenano,con strada bianca e dissestata,ideale per fuoristrada o moto.Davvero poco frequentato e ombreggiato per le calde giornate estive.	0.04519824683666229	0.156735822558403	0.7980659008026123	positive
66374441e18e1c186ce07e38	Frantoio Oleario Palmadori Massimo	5	"Conosco la famiglia Palmadori da anni e frequento da sempre il loro frantoio. La straordinaria competenza di Massimo, la tradizione ultracentenaria e l'innovazione delle nuove generazioni garantiscono un prodotto senza eguali. La gestione, veramente familiare, è accoglienza e sorriso, professionalità e serietà. E non è solo olio extravergine. Straordinario l'olio al tartufo e le lavorazioni in legno d'ulivo. 
Un ambiente accogliente e curato dove si respira l'amore per il proprio lavoro e per i prodotti della terra. 
Lo consiglio a chi vuole provare un prodotto di qualità affidandosi a mani sapienti."	0.0001330366358160973	0.001792753464542329	0.9980741739273071	positive
